gene_id	description
LOC727378	peptidyl-prolyl cis-trans isomerase-like 1
LOC727380	protein CROWDED NUCLEI 3-like
LOC727387	3-hydroxy-3-methylglutaryl-coenzyme A reductase-like
LOC727390	uncharacterized LOC727390
LOC727392	endocuticle structural glycoprotein SgAbd-2
LOC727393	putative SERF-like protein
LOC727394	ATP-dependent Clp protease proteolytic subunit 1-like
LOC727396	eukaryotic translation initiation factor 2-alpha kinase
LOC727398	uncharacterized LOC727398
LOC727399	protein numb
LOC727400	protein timeless homolog
LOC727405	interaptin
LOC727406	tetratricopeptide repeat protein 8-like
LOC727407	cohesin subunit SA-1
LOC727408	slit homolog 1 protein-like
LOC727410	"protein still life, isoforms C/SIF type 2-like"
LOC727412	pleckstrin homology domain-containing family A member 6-like
LOC727415	protein-associating with the carboxyl-terminal domain of ezrin
LOC727416	uncharacterized LOC727416
LOC727417	"ATPase inhibitor mai-2, mitochondrial-like"
LOC727418	uncharacterized LOC727418
LOC727419	ribonuclease P protein subunit p29
LOC727420	transmembrane protein 192
LOC727423	uncharacterized LOC727423
LOC727424	mitochondrial thiamine pyrophosphate carrier-like
LOC727429	histone-lysine N-methyltransferase SETMAR-like
LOC727431	gustatory receptor for sugar taste 64f
LOC727432	protein phosphatase inhibitor 2-like
LOC727434	WD repeat-containing protein 7-like
LOC727436	nuclear receptor 2C2-associated protein
LOC727440	dystroglycan-like
LOC727442	AT-rich interactive domain-containing protein 3A-like
LOC727443	serine/threonine-protein phosphatase 4 catalytic subunit
LOC727444	uncharacterized LOC727444
LOC727447	nuclear pore complex protein Nup153
LOC727449	nucleosome assembly protein 1-like 1
LOC727450	uncharacterized LOC727450
LOC727452	sorting nexin-6
LOC727453	"glutamate receptor ionotropic, kainate 2-like"
LOC727454	LON peptidase N-terminal domain and RING finger protein 1-like
LOC727455	UBA-like domain-containing protein 2
LOC727456	glucose-6-phosphate 1-epimerase
LOC727460	FERM domain-containing protein 5
LOC727464	uncharacterized LOC727464
LOC727465	choline/ethanolaminephosphotransferase 1-like
LOC727466	XK-related protein 6-like
LOC727471	NAD(P)H-hydrate epimerase
LOC727473	signal recognition particle 19 kDa protein
LOC727479	zinc transporter 1
LOC727480	CDK5 regulatory subunit-associated protein 3
LOC727483	"ATP synthase subunit epsilon, mitochondrial-like"
LOC727484	kinesin-like protein unc-104
LOC727485	cytohesin-1-like
LOC727486	BAG domain-containing protein Samui
LOC727487	selenium-binding protein 1-A-like
LOC727490	E3 ubiquitin-protein ligase FANCL
LOC727493	"ubiquinone biosynthesis protein COQ4 homolog, mitochondrial-like"
LOC727495	"valine--tRNA ligase, mitochondrial"
LOC727496	uncharacterized LOC727496
LOC727497	protein SMG5
LOC727498	uncharacterized LOC727498
LOC727501	gonadal protein gdl
LOC727502	uncharacterized LOC727502
LOC727503	uncharacterized LOC727503
LOC727505	protein Mpv17
LOC727506	60S ribosomal protein L7a
LOC727510	lactosylceramide 4-alpha-galactosyltransferase
LOC727511	cysteine-rich protein 2-binding protein-like
LOC727515	uncharacterized protein C19orf52
LOC727518	RING finger protein unkempt-like
LOC727519	patronin
LOC727520	uncharacterized LOC727520
LOC727522	protein G12-like
LOC727524	outer dense fiber protein 3B
LOC727526	catalase-like
LOC727528	zinc finger BED domain-containing protein 1-like
LOC727531	putative pre-mRNA-splicing factor ATP-dependent RNA helicase PRP1
LOC727534	"ADP-ribose pyrophosphatase, mitochondrial"
LOC727538	regulator of microtubule dynamics protein 2-like
LOC727539	lysocardiolipin acyltransferase 1-like
LOC727541	octanoyltransferase-like
LOC727543	probable cytochrome P450 6a13
LOC727546	uncharacterized LOC727546
LOC727549	uncharacterized LOC727549
LOC727552	Y+L amino acid transporter 2
LOC727553	uncharacterized LOC727553
LOC727555	NF-kappa-B inhibitor alpha-like
LOC727561	importin subunit alpha
LOC727562	trypsin-7
LOC727564	glucose-1-phosphate thymidylyltransferase-like
LOC727568	dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1
LOC727570	CD63 antigen-like
LOC727572	potassium channel subfamily K member 2-like
LOC727574	transcription initiation factor TFIID subunit 3-like
LOC727577	tankyrase
LOC727578	uncharacterized LOC727578
LOC727582	"tryptophan--tRNA ligase, cytoplasmic"
LOC727584	peroxisomal multifunctional enzyme type 2-like
LOC727587	trypsin-1-like
LOC727591	RRP12-like protein
LOC727592	uncharacterized LOC727592
LOC727593	UDP-glucuronosyltransferase 2C1-like
LOC727596	malectin
LOC727597	sarcalumenin-like
LOC727598	probable cytochrome P450 6a13
LOC727599	"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial"
LOC727600	guanine nucleotide-binding protein-like 1
LOC727603	uncharacterized LOC727603
LOC727606	ankyrin repeat domain-containing protein 50-like
LOC727607	protein yellow
LOC727612	PITH domain-containing protein GA19395
LOC727618	farnesyl pyrophosphate synthase
LOC727619	zinc finger protein 585B
LOC727620	histone deacetylase 6
LOC727622	"probable aspartate aminotransferase, cytoplasmic"
LOC727625	uncharacterized LOC727625
LOC727630	V-type proton ATPase 116 kDa subunit a
LOC727631	uncharacterized LOC727631
LOC727634	activating molecule in BECN1-regulated autophagy protein 1-like
LOC727635	lipid A export ATP-binding/permease protein MsbA-like
LOC727639	uncharacterized LOC727639
LOC727641	TATA-box-binding protein
LOC727642	dnaJ homolog subfamily B member 13-like
LOC727645	guanine nucleotide-binding protein subunit alpha homolog
LOC727647	uncharacterized LOC727647
LOC727648	acylamino-acid-releasing enzyme-like
LOC727649	uncharacterized LOC727649
LOC727650	uncharacterized LOC727650
LOC727651	uncharacterized LOC727651
LOC727652	coiled-coil domain-containing protein 108-like
LOC751767	chemosensory protein 5
Lin-52	lin-52 protein
Lop1	long wavelength sensitive opsin 1
Lop2	long wavelength sensitive opsin 2
Mar-06	membrane-associated ring finger (C3HC4) 6
Mad	MAX dimerization protein
Mblk-1	transcription factor mblk-1-like
Mcdp	mast cell-degranulating peptide
Melt	melittin
Metrn	meteorin
Mir1-1	microRNA 1-1
Mir1-2	microRNA 1-2
Mir10	microRNA 10
Mir100	microRNA 100
Mir1000	microRNA 1000
Mir1006	microRNA 1006
Mir11	microRNA 11
Mir1175	microRNA 1175
Mir12	microRNA 12
Mir124	microRNA 124
Mir125	microRNA 125
Mir133	microRNA 133
Mir137	microRNA 137
Mir13a	microRNA 13a
Mir13b	microRNA 13b
Mir14	microRNA 14
Mir184	microRNA 184
Mir190	microRNA 190
Mir193	microRNA 193
Mir2-1	microRNA 2-1
Mir2-2	microRNA 2-2
Mir2-3	microRNA 2-3
Mir210	microRNA 210
Mir219	microRNA 219
Mir252a	microRNA 252a
Mir252b	microRNA 252b
Mir263a	microRNA 263a
Mir263b	microRNA 263b
Mir275	microRNA 275
Mir276	microRNA 276
Mir2765	microRNA 2765
Mir277	microRNA 277
Mir278	microRNA 278
Mir2788	microRNA 2788
Mir2796	microRNA 2796
Mir279a	microRNA 279a
Mir279b	microRNA 279b
Mir279c	microRNA 279c
Mir279d	microRNA 279d
Mir281	microRNA 281
Mir282	microRNA 282
Mir283	microRNA 283
Mir2944	microRNA 2944
Mir29b	microRNA 29b
Mir2b	microRNA 2b
Mir3049	microRNA 3049
Mir305	microRNA 305
Mir306	microRNA 306
Mir307	microRNA 307
Mir315	microRNA 315
Mir316	microRNA 316
Mir317	microRNA 317
Mir318	microRNA 318
Mir31a	microRNA 31a
Mir33	microRNA 33
Mir34	microRNA 34
Mir3477	microRNA 3477
Mir3478	microRNA 3478
Mir3715	microRNA 3715
Mir3716a	microRNA 3716a
Mir3716b	microRNA 3716b
Mir3717	microRNA 3717
Mir3718a	microRNA 3718a
Mir3718b	microRNA 3718b
Mir3718c	microRNA 3718c
Mir3719	microRNA 3719
Mir3720	microRNA 3720
Mir3721	microRNA 3721
Mir3722	microRNA 3722
Mir3723	microRNA 3723
Mir3724	microRNA 3724
Mir3725	microRNA 3725
Mir3726	microRNA 3726
Mir3727	microRNA 3727
Mir3728	microRNA 3728
Mir3729	microRNA 3729
Mir3730	microRNA 3730
Mir3731	microRNA 3731
Mir3732	microRNA 3732
Mir3733	microRNA 3733
Mir3734	microRNA 3734
Mir3735	microRNA 3735
Mir3736	microRNA 3736
Mir3737	microRNA 3737
Mir3738	microRNA 3738
Mir3739	microRNA 3739
Mir3740	microRNA 3740
Mir3741	microRNA 3741
Mir3742	microRNA 3742
Mir3743	microRNA 3743
Mir3744	microRNA 3744
Mir3745	microRNA 3745
Mir3746	microRNA 3746
Mir3747a	microRNA 3747a
Mir3747b	microRNA 3747b
Mir3748	microRNA 3748
Mir3749	microRNA 3749
Mir375	microRNA 375
Mir3750	microRNA 3750
Mir3751	microRNA 3751
Mir3752	microRNA 3752
Mir3753	microRNA 3753
Mir3754	microRNA 3754
Mir3755	microRNA 3755
Mir3756	microRNA 3756
Mir3757	microRNA 3757
Mir3758	microRNA 3758
Mir3759	microRNA 3759
Mir3760	microRNA 3760
Mir3761	microRNA 3761
Mir3762	microRNA 3762
Mir3763	microRNA 3763
Mir3764	microRNA 3764
Mir3765	microRNA 3765
Mir3766	microRNA 3766
Mir3767	microRNA 3767
Mir3768	microRNA 3768
Mir3769	microRNA 3769
Mir3770	microRNA 3770
Mir3771	microRNA 3771
Mir3772	microRNA 3772
Mir3773	microRNA 3773
Mir3774	microRNA 3774
Mir3775	microRNA 3775
Mir3776	microRNA 3776
Mir3777	microRNA 3777
Mir3778	microRNA 3778
Mir3779	microRNA 3779
Mir3780	microRNA 3780
Mir3781	microRNA 3781
Mir3782	microRNA 3782
Mir3783	microRNA 3783
Mir3784	microRNA 3784
Mir3785	microRNA 3785
Mir3786	microRNA 3786
Mir3787	microRNA 3787
Mir3788	microRNA 3788
Mir3789	microRNA 3789
Mir3790	microRNA 3790
Mir3791	microRNA 3791
Mir3792	microRNA 3792
Mir3793	microRNA 3793
Mir3794	microRNA 3794
Mir3795	microRNA 3795
Mir3796	microRNA 3796
Mir3797	microRNA 3797
Mir3798	microRNA 3798
Mir3799	microRNA 3799
Mir3800	microRNA 3800
Mir3801	microRNA 3801
Mir6000a	microRNA 6000a
Mir6000b	microRNA 6000b
Mir6001	microRNA 6001
Mir6002	microRNA 6002
Mir6003	microRNA 6003
Mir6004	microRNA 6004
Mir6005	microRNA 6005
Mir6006	microRNA 6006
Mir6012	microRNA 6012
Mir6037	microRNA 6037
Mir6038	microRNA 6038
Mir6039	microRNA 6039
Mir6040	microRNA 6040
Mir6041	microRNA 6041
Mir6042	microRNA 6042
Mir6043	microRNA 6043
Mir6044	microRNA 6044
Mir6045	microRNA 6045
Mir6046	microRNA 6046
Mir6047a	microRNA 6047a
Mir6047b	microRNA 6047b
Mir6048	microRNA 6048
Mir6049	microRNA 6049
Mir6050	microRNA 6050
Mir6051	microRNA 6051
Mir6052	microRNA 6052
Mir6053	microRNA 6053
Mir6054	microRNA 6054
Mir6055	microRNA 6055
Mir6056	microRNA 6056
Mir6057	microRNA 6057
Mir6058	microRNA 6058
Mir6059	microRNA 6059
Mir6060	microRNA 6060
Mir6061	microRNA 6061
Mir6062	microRNA 6062
Mir6063	microRNA 6063
Mir6064	microRNA 6064
Mir6065	microRNA 6065
Mir6066	microRNA 6066
Mir6067	microRNA 6067
Mir7	microRNA 7
Mir71	microRNA 71
Mir750	microRNA 750
Mir79	microRNA 79
Mir8	microRNA 8
Mir87-1	microRNA 87-1
Mir87-2	microRNA 87-2
Mir927a	microRNA 927a
Mir927b	microRNA 927b
Mir928	microRNA 928
Mir929	microRNA 929
Mir92a	microRNA 92a
Mir92b-1	microRNA 92b-1
Mir92b-2	microRNA 92b-2
Mir92c	microRNA 92c
Mir932	microRNA 932
Mir965	microRNA 965
Mir971	microRNA 971
Mir980	microRNA 980
Mir981	microRNA 981
Mir985	microRNA 985
Mir9864	microRNA 9864
Mir9865	microRNA 9865
Mir9866	microRNA 9866
Mir9867	microRNA 9867
Mir9868	microRNA 9868
Mir9869	microRNA 9869
Mir9870	microRNA 9870
Mir9871	microRNA 9871
Mir9872	microRNA 9872
Mir9873	microRNA 9873
Mir9874	microRNA 9874
Mir9875	microRNA 9875
Mir9876	microRNA 9876
Mir9877	microRNA 9877
Mir9878	microRNA 9878
Mir9879	microRNA 9879
Mir9880	microRNA 9880
Mir9881	microRNA 9881
Mir9882	microRNA 9882
Mir9883	microRNA 9883
Mir9884	microRNA 9884
Mir9885	microRNA 9885
Mir9886	microRNA 9886
Mir9887	microRNA 9887
Mir9888	microRNA 9888
Mir9889	microRNA 9889
Mir989	microRNA 989
Mir9890	microRNA 9890
Mir9891	microRNA 9891
Mir9892	microRNA 9892
Mir9893	microRNA 9893
Mir9894	microRNA 9894
Mir9895	microRNA 9895
Mir9896	microRNA 9896
Mir993	microRNA 993
Mir996	microRNA 996
Mir9a	microRNA 9a
Mir9b	microRNA 9b
Mir9c	microRNA 9c
Miriab-4	microRNA iab-4
Mirlet7	microRNA let-7
Mrjp1	major royal jelly protein 1
Mrjp2	major royal jelly protein 2
Mrjp3	major royal jelly protein 3
Mrjp4	major royal jelly protein 4
Mrjp5	major royal jelly protein 5
Mrjp6	major royal jelly protein 6
Mrjp7	major royal jelly protein 7
Mrjp8	major royal jelly protein 8
Mrjp9	major royal jelly protein 9
MsrA	methionine sulphoxide reductase A
Msx	homeobox protein Msx
NFRKB	nuclear factor related to kappaB binding protein
NLG-3	neuroligin 3
NLG-4	neuroligin 4
NLG-5	neuroligin 5
NOS	nitric oxide synthase
NPF	neuropeptide F
Ndufb2	"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 2, 8kDa"
Ndufs1	"NADH dehydrogenase (ubiquinone) Fe-S protein 1, 75kDa (NADH-coenzyme Q reductase)"
Ndufs5	"NADH dehydrogenase (ubiquinone) Fe-S protein 5, 15kDa (NADH-coenzyme Q reductase)"
Nedd9	"neural precursor cell expressed, developmentally down-regulated gene 9"
Nipped-B	nipped-B protein
Nmdar1	NMDA receptor 1
Nrk1	nicotinamide riboside kinase
Nrx-1	neurexin 1
Oa1	octopamine receptor
Obp1	odorant binding protein 1
Obp10	odorant binding protein 10
Obp11	odorant binding protein 11
Obp12	odorant binding protein 12
Obp13	odorant binding protein 13
Obp14	odorant binding protein 14
Obp16	odorant binding protein 16
Obp17	odorant binding protein 17
Obp18	odorant binding protein 18
Obp2	odorant binding protein 2
Obp21	odorant binding protein 21
Obp3	odorant binding protein 3
Obp4	odorant binding protein 4
Obp5	odorant binding protein 5
Obp6	odorant binding protein 6
Obp7	odorant binding protein 7
Obp9	odorant binding protein 9
Or10	odorant receptor 10
Or105	odorant receptor 105
Or107	odorant receptor 107
Or109	odorant receptor 109
Or11	odorant receptor 11
Or115	odorant receptor 115
Or12	odorant receptor 12
Or13	odorant receptor 13
Or130	odorant receptor 130
Or131	odorant receptor 131
Or14	odorant receptor 14
Or170	odorant receptor 170
Or19	odorant receptor 19
Or2	odorant receptor 2
Or25	odorant receptor 25
Or26	odorant receptor 26
Or27	odorant receptor 27
Or30	odorant receptor 30
Or35	odorant receptor 35
Or37	odorant receptor 37
Or4	odorant receptor 4
Or41	odorant receptor 41
Or5	odorant receptor 5
Or50	odorant receptor 50
Or51	odorant receptor 51
Or52	odorant receptor 52
Or53	odorant receptor 53
Or55	odorant receptor 55
Or56	odorant receptor 56
Or57	odorant receptor 57
Or58	odorant receptor 58
Or63	odorant receptor 63
Or9	odorant receptor 9
Or98	odorant receptor 98
PDHB	pyruvate dehydrogenase (lipoamide) beta
PGRP-S3	peptidoglycan recognition protein S3
PHRF1	PHD and ring finger domains 1
PIH1D1	PIH1 domain containing 1
PPO	phenoloxidase subunit A3
PRF	profilin
Para	sodium channel protein paralytic
Pban	pheromone biosynthesis-activating neuropeptide
Pburs	bursicon subunit beta
Pcl	polycomblike
Per	period circadian protein
Pet117	cytochrome c oxidase assembly factor-like
Pgrp-s2	peptidoglycan recognition protein S2
Pkc	protein kinase C
Pla2	phospholipase A2
Ppib	peptidylprolyl isomerase B (cyclophilin B)
Prpf3	PRP3 pre-mRNA processing factor 3 homolog
Psq	pipsqueak
Pten	phosphatase and tensin-like
Qbp-1	Queen brain-selective protein-1
RCC1	regulator of chromosome condensation 1
ROCK2	"Rho-associated, coiled-coil containing protein kinase 2"
Reck	reversion-inducing-cysteine-rich protein with kazal motifs
Rep	Rab escort protein
Rfwd3	ring finger and WD repeat domain 3
Rga	regulator of gene activity protein
Ripk5	receptor interacting protein kinase 5
Rnft2	"ring finger protein, transmembrane 2"
RpL32	ribosomal protein L32
RpL35	ribosomal protein L35
RpLP1	ribosomal protein LP1
Rpl39	ribosomal protein L39
Rpl41	ribosomal protein L41
Rpn1	ribophorin I
Rps14	ribosomal protein S14
Rps8	ribosomal protein S8
SIFR	SIFamide receptor
SP34	serine protease 34
SPG11	spatacsin
STT3B	"STT3, subunit of the oligosaccharyltransferase complex, homolog B"
Sergef	secretion regulating guanine nucleotide exchange factor
Slc35b1	"solute carrier family 35, member B1"
Smb	small ribonucleoprotein particle protein B
Snf	U1 small nuclear ribonucleoprotein A
Sod1	superoxide dismutase 1
Sod2	"superoxide dismutase 2, mitochondrial"
SsRbeta	signal sequence receptor beta
Stg-1	stargazin related protein STG-1
Stip	Sip1/TFIP11 interacting protein
Su(var)3-9	suppressor of variegation 3-9
Syt1	synaptotagmin 1
Syt20	synaptotagmin 20
Syx1A	syntaxin 1A
Tbh	tyramine beta hydroxylase
Tert	telomerase reverse transcriptase
Tg	transglutaminase
Tk	tachykinin
Tmem98	transmembrane protein 98
Tom7	translocase of outer membrane 7
Tpcn1	two pore segment channel 1
Tpi	triosephosphate isomerase
TpnCI	troponin C type I
TpnCIIIa	troponin C type IIIa
TpnCIIIb	troponin C type IIIb
TpnCIIa	troponin C type IIa
TpnCIIb	troponin C type IIb
TpnI	troponin I
TpnT	"troponin T, skeletal muscle"
Tpx-3	thioredoxin peroxidase 3
Tpx-4	thioredoxin peroxidase 4
